HR,COLOR,GLON,GLAT
7404,ffffffff,37.5,-8.3
7405,ffffffff,58.99,3.4
7406,ffffffff,59.11,3.4
7407,ffffffff,50.21,-1.55
7408,ffffffff,84.02,16.01
7409,ffffffff,55.2,1.18
7410,ffffffff,17.66,-17.93
7411,ffffffff,15.44,-27.45
7412,ffffffff,39.98,-7.26
7413,ffffffff,93.93,20.02
7414,ffffffff,34.93,-10
7415,ffffffff,40.5,-7.09
7416,ffffffff,6.74,-25.97
7417,ffffffff,62.11,4.57
7418,ffffffff,62.12,4.57
7419,ffffffff,69.46,8.44
7420,ffffffff,83.61,15.45
7421,ffffffff,60.99,3.81
7422,ffffffff,1.08,-24.81
7423,ffffffff,111.52,25.3
7424,ffffffff,9.75,-26.89
7425,ffffffff,115.68,26.27
7426,ffffffff,67.97,7.44
7427,ffffffff,82.38,14.62
7428,ffffffff,87.51,16.87
7429,ffffffff,44.41,-6.01
7430,ffffffff,28.3,-14.44
7431,ffffffff,14.79,-20.3
7432,ffffffff,31.22,-13.17
7433,ffffffff,26.77,-15.26
7434,ffffffff,20.72,-28.86
7435,ffffffff,30.66,-29.51
7436,ffffffff,72,9.12
7437,ffffffff,55.35,-0.14
7438,ffffffff,40.6,-8.42
7439,ffffffff,20.57,-18.16
7440,ffffffff,14.68,-20.51
7441,ffffffff,63.87,4.5
7442,ffffffff,81.58,13.83
7443,ffffffff,21.23,-18.05
7444,ffffffff,75.38,10.62
7445,ffffffff,47.98,-4.65
7446,ffffffff,31.77,-13.29
7447,ffffffff,36.99,-10.66
7448,ffffffff,91.89,18.38
7449,ffffffff,50.84,-3.11
7450,ffffffff,102.62,22.41
7451,ffffffff,83.46,14.59
7452,ffffffff,57.99,0.91
7453,ffffffff,80.64,13.21
7454,ffffffff,25.05,-16.56
7455,ffffffff,29.71,-29.68
7456,ffffffff,48.18,-4.75
7457,ffffffff,70.58,7.89
7458,ffffffff,56.07,-0.29
7459,ffffffff,16.64,-28.71
7460,ffffffff,34.06,-12.42
7461,ffffffff,6.47,-27.06
7462,ffffffff,101.32,21.89
7463,ffffffff,52.77,-2.32
7464,ffffffff,0.12,-25.72
7465,ffffffff,82.65,13.93
7466,ffffffff,64,3.99
7467,ffffffff,71.97,8.37
7468,ffffffff,77.62,11.35
7469,ffffffff,82.66,13.85
7470,ffffffff,16.41,-20.64
7471,ffffffff,41.43,-8.94
7472,ffffffff,56.66,-0.41
7473,ffffffff,16.43,-20.7
7474,ffffffff,43.27,-8.07
7475,ffffffff,53.12,-2.71
7476,ffffffff,23.47,-18.07
7477,ffffffff,81.91,13.22
7478,ffffffff,64.95,3.97
7479,ffffffff,54.45,-2.14
7480,ffffffff,38.06,-11.24
7481,ffffffff,68.34,5.76
7482,ffffffff,56.64,-1
7483,ffffffff,76.16,10.03
7484,ffffffff,87.25,15.59
7485,ffffffff,59.48,0.56
7486,ffffffff,50.91,-4.41
7487,ffffffff,79,11.47
7488,ffffffff,54.1,-2.6
7489,ffffffff,23.82,-18.4
7490,ffffffff,58.45,-0.18
7491,ffffffff,2.12,-25.92
7492,ffffffff,76.5,9.95
7493,ffffffff,49.62,-5.44
7494,ffffffff,47.54,-29.21
7495,ffffffff,78.71,11.07
7496,ffffffff,24.55,-18.36
7497,ffffffff,49.34,-5.7
7498,ffffffff,37.4,-30.12
7499,ffffffff,74.1,8.4
7500,ffffffff,92.59,17.72
7501,ffffffff,64.6,2.92
7502,ffffffff,67.29,4.46
7503,ffffffff,83.34,13.21
7504,ffffffff,83.34,13.2
7505,ffffffff,65.81,3.52
7506,ffffffff,61.61,0.98
7507,ffffffff,8.25,-24.79
7508,ffffffff,62.82,1.61
7509,ffffffff,87.93,15.37
7510,ffffffff,18.73,-30.01
7511,ffffffff,50.88,-5.4
7512,ffffffff,68.92,5.11
7513,ffffffff,30.82,-30.5
7514,ffffffff,75.61,8.83
7515,ffffffff,20.65,-20.67
7516,ffffffff,36.61,-13.42
7517,ffffffff,71.76,6.6
7518,ffffffff,64.76,2.51
7519,ffffffff,46.01,-8.42
7520,ffffffff,69.22,5.1
7521,ffffffff,14.73,-29.79
7522,ffffffff,90.39,16.33
7523,ffffffff,74.77,8.15
7524,ffffffff,29.42,-30.65
7525,ffffffff,48.73,-7.08
7526,ffffffff,89.5,15.86
7527,ffffffff,24.15,-30.57
7528,ffffffff,78.71,10.24
7529,ffffffff,70.79,5.74
7530,ffffffff,69.87,5.17
7531,ffffffff,21.98,-30.55
7532,ffffffff,26.72,-18.63
7533,ffffffff,61.39,0.08
7534,ffffffff,68.81,4.44
7535,ffffffff,68.1,3.99
7536,ffffffff,55.77,-3.38
7537,ffffffff,8.63,-29.27
7538,ffffffff,11.75,-24.46
7539,ffffffff,0,
7540,ffffffff,61.74,-0.02
7541,ffffffff,29.53,-17.66
7542,ffffffff,49.07,-7.52
7543,ffffffff,72.99,6.57
7544,ffffffff,50.08,-7.01
7545,ffffffff,101.37,20.78
7546,ffffffff,56.48,-3.4
7547,ffffffff,81.4,11.19
7548,ffffffff,17.06,-30.54
7549,ffffffff,17.07,-30.55
7550,ffffffff,70.42,4.81
7551,ffffffff,68.81,3.85
7552,ffffffff,0.03,-28.05
7553,ffffffff,29.83,-18
7554,ffffffff,46.83,-9.28
7555,ffffffff,73.45,6.39
7556,ffffffff,64.61,1.13
7557,ffffffff,47.74,-8.91
7558,ffffffff,24.26,-31.09
7559,ffffffff,37.62,-14.4
7560,ffffffff,49.14,-8.19
7561,ffffffff,21.92,-21.67
7562,ffffffff,48.48,-8.64
7563,ffffffff,100.58,20.24
7564,ffffffff,68.54,3.28
7565,ffffffff,59.72,-2.07
7566,ffffffff,73.57,6.2
7567,ffffffff,75.22,7.13
7568,ffffffff,72.81,5.72
7569,ffffffff,50.33,-7.82
7570,ffffffff,40.93,-13.07
7571,ffffffff,26.38,-20.12
7572,ffffffff,49.23,-8.49
7573,ffffffff,61.88,-1.04
7574,ffffffff,56.48,-4.33
7575,ffffffff,37.27,-15.18
7576,ffffffff,86.23,13.14
7577,ffffffff,81.25,10.36
7578,ffffffff,17.18,-23.91
7579,ffffffff,33.61,-31.18
7580,ffffffff,44.1,-11.65
7581,ffffffff,2.03,-29.11
7582,ffffffff,102.43,20.83
7583,ffffffff,71.76,4.76
7584,ffffffff,32.28,-17.8
7585,ffffffff,7.66,-26.95
7586,ffffffff,20.46,-31.31
7587,ffffffff,21.6,-31.36
7588,ffffffff,33.15,-31.23
7589,ffffffff,80.99,10.09
7590,ffffffff,37.98,-30.9
7591,ffffffff,81.81,10.51
7592,ffffffff,61.27,-1.79
7593,ffffffff,32.66,-17.76
7594,ffffffff,32.65,-17.77
7595,ffffffff,47.81,-9.85
7596,ffffffff,40.55,-13.92
7597,ffffffff,14.86,-25.04
7598,ffffffff,46.7,-10.6
7599,ffffffff,34.15,-17.26
7600,ffffffff,81.77,10.32
7601,ffffffff,61.6,-1.87
