lambda,phi,theta
0.138742882,222.4922359,0
0.138515241,222.4922359,0
0.138289522,222.4922359,0
0.138065705,222.4922359,0
0.137843769,222.4922359,0
0.137623694,222.4922359,0
0.137405459,222.4922359,0
0.137189047,222.4922359,0
0.136974436,222.4922359,0
0.136761609,222.4922359,0
0.136550546,222.4922359,0
0.136341229,222.4922359,0
0.136133641,222.4922359,0
0.135927762,222.4922359,0
0.135723577,222.4922359,0
0.135521067,222.4922359,0
0.135320216,222.4922359,0
0.135121007,222.4922359,0
0.134923423,222.4922359,0
0.134727449,222.4922359,0
0.134533067,222.4922359,0
0.134340263,222.4922359,0
0.134149021,222.4922359,0
0.133959326,222.4922359,0
0.133771162,222.4922359,0
0.133584515,222.4922359,0
0.133399371,222.4922359,0
0.133215714,222.4922359,0
0.133033531,222.4922359,0
0.132852807,222.4922359,0
0.13267353,222.4922359,0
0.132495684,222.4922359,0
0.132319258,222.4922359,0
0.132144238,222.4922359,0
0.13197061,222.4922359,0
0.131798362,222.4922359,0
0.131627482,222.4922359,0
0.131457957,222.4922359,0
0.131289774,222.4922359,0
0.131122922,222.4922359,0
0.130957389,222.4922359,0
0.130793163,222.4922359,0
0.130630232,222.4922359,0
0.130468584,222.4922359,0
0.13030821,222.4922359,0
0.130149097,222.4922359,0
0.129991234,222.4922359,0
0.129834611,222.4922359,0
0.129679217,222.4922359,0
0.129525042,222.4922359,0
0.129372075,222.4922359,0
0.129220306,222.4922359,0
0.129069725,222.4922359,0
0.128920322,222.4922359,0
0.128772086,222.4922359,0
0.12862501,222.4922359,0
0.128479082,222.4922359,0
0.128334293,222.4922359,0
0.128190634,222.4922359,0
0.128048097,222.4922359,0
0.127906671,222.4922359,0
0.127766348,222.4922359,0
0.127627119,222.4922359,0
0.127488976,222.4922359,0
0.127351909,222.4922359,0
0.127215911,222.4922359,0
0.127080973,222.4922359,0
0.126947086,222.4922359,0
0.126814243,222.4922359,0
0.126682435,222.4922359,0
0.126551655,222.4922359,0
0.126421894,222.4922359,0
0.126293146,222.4922359,0
0.126165401,222.4922359,0
0.126038654,222.4922359,0
0.125912896,222.4922359,0
0.125788119,222.4922359,0
0.125664318,222.4922359,0
0.125541484,222.4922359,0
0.12541961,222.4922359,0
0.12529869,222.4922359,0
0.125178717,222.4922359,0
0.125059683,222.4922359,0
0.124941582,222.4922359,0
0.124824408,222.4922359,0
0.124708154,222.4922359,0
0.124592813,222.4922359,0
0.124478379,222.4922359,0
0.124364845,222.4922359,0
0.124252206,222.4922359,0
0.124140456,222.4922359,0
0.124029587,222.4922359,0
0.123919595,222.4922359,0
0.123810473,222.4922359,0
0.123702215,222.4922359,0
0.123594816,222.4922359,0
0.12348827,222.4922359,0
0.123382571,222.4922359,0
0.123277713,222.4922359,0
0.123173692,222.4922359,0
0.123070502,222.4922359,0
0.122968136,222.4922359,0
0.122866591,222.4922359,0
0.122765861,222.4922359,0
0.12266594,222.4922359,0
0.122566824,222.4922359,0
0.122468507,222.4922359,0
0.122370984,222.4922359,0
0.122274251,222.4922359,0
0.122178303,222.4922359,0
0.122083134,222.4922359,0
0.12198874,222.4922359,0
0.121895117,222.4922359,0
0.121802259,222.4922359,0
0.121710163,222.4922359,0
0.121618823,222.4922359,0
0.121528235,222.4922359,0
0.121438395,222.4922359,0
0.121349298,222.4922359,0
0.12126094,222.4922359,0
0.121173316,222.4922359,0
0.121086423,222.4922359,0
0.121000257,222.4922359,0
0.120914813,222.4922359,0
0.120830086,222.4922359,0
0.120746074,222.4922359,0
0.120662772,222.4922359,0
0.120580177,222.4922359,0
0.120498283,222.4922359,0
0.120417088,222.4922359,0
0.120336588,222.4922359,0
0.120256779,222.4922359,0
0.120177657,222.4922359,0
0.120099219,222.4922359,0
0.120021461,222.4922359,0
0.119944379,222.4922359,0
0.119867971,222.4922359,0
0.119792231,222.4922359,0
0.119717158,222.4922359,0
0.119642748,222.4922359,0
0.119568997,222.4922359,0
0.119495901,222.4922359,0
0.119423459,222.4922359,0
0.119351666,222.4922359,0
0.119280519,222.4922359,0
0.119210016,222.4922359,0
0.119140152,222.4922359,0
0.119070925,222.4922359,0
0.119002333,222.4922359,0
0.118934371,222.4922359,0
0.118867037,222.4922359,0
0.118800328,222.4922359,0
0.118734241,222.4922359,0
0.118668773,222.4922359,0
0.118603922,222.4922359,0
0.118539684,222.4922359,0
0.118476057,222.4922359,0
0.118413039,222.4922359,0
0.118350625,222.4922359,0
0.118288815,222.4922359,0
0.118227604,222.4922359,0
0.118166991,222.4922359,0
0.118106973,222.4922359,0
0.118047548,222.4922359,0
0.117988713,222.4922359,0
0.117930465,222.4922359,0
0.117872802,222.4922359,0
0.117815721,222.4922359,0
0.117759221,222.4922359,0
0.117703299,222.4922359,0
0.117647953,222.4922359,0
0.11759318,222.4922359,0
0.117538978,222.4922359,0
0.117485345,222.4922359,0
0.117432278,222.4922359,0
0.117379776,222.4922359,0
0.117327836,222.4922359,0
0.117276457,222.4922359,0
0.117225636,222.4922359,0
0.117175371,222.4922359,0
0.117125659,222.4922359,0
0.1170765,222.4922359,0
0.117027891,222.4922359,0
0.11697983,222.4922359,0
0.116932316,222.4922359,0
0.116885345,222.4922359,0
0.116838917,222.4922359,0
0.11679303,222.4922359,0
0.116747681,222.4922359,0
0.116702869,222.4922359,0
0.116658593,222.4922359,0
0.11661485,222.4922359,0
0.116571638,222.4922359,0
0.116528957,222.4922359,0
0.116486804,222.4922359,0
0.116445178,222.4922359,0
0.116404076,222.4922359,0
0.116363498,222.4922359,0
0.116323442,222.4922359,0
0.116283907,222.4922359,0
0.11624489,222.4922359,0
0.11620639,222.4922359,0
0.116168406,222.4922359,0
0.116130937,222.4922359,0
0.11609398,222.4922359,0
0.116057535,222.4922359,0
0.116021599,222.4922359,0
0.115986173,222.4922359,0
0.115951254,222.4922359,0
0.11591684,222.4922359,0
0.115882932,222.4922359,0
0.115849526,222.4922359,0
0.115816623,222.4922359,0
0.115784221,222.4922359,0
0.115752318,222.4922359,0
0.115720914,222.4922359,0
0.115690007,222.4922359,0
0.115659596,222.4922359,0
0.11562968,222.4922359,0
0.115600257,222.4922359,0
0.115571328,222.4922359,0
0.115542889,222.4922359,0
0.115514942,222.4922359,0
0.115487484,222.4922359,0
0.115460514,222.4922359,0
0.115434032,222.4922359,0
0.115408036,222.4922359,0
0.115382526,222.4922359,0
0.1153575,222.4922359,0
0.115332958,222.4922359,0
0.115308898,222.4922359,0
0.115285321,222.4922359,0
0.115262224,222.4922359,0
0.115239607,222.4922359,0
0.115217469,222.4922359,0
0.11519581,222.4922359,0
0.115174629,222.4922359,0
0.115153924,222.4922359,0
0.115133696,222.4922359,0
0.115113942,222.4922359,0
0.115094664,222.4922359,0
0.115075859,222.4922359,0
0.115057527,222.4922359,0
0.115039668,222.4922359,0
0.115022281,222.4922359,0
0.115005365,222.4922359,0
0.114988919,222.4922359,0
0.114972944,222.4922359,0
0.114957438,222.4922359,0
0.114942401,222.4922359,0
0.114927832,222.4922359,0
0.114913731,222.4922359,0
0.114900097,222.4922359,0
0.11488693,222.4922359,0
0.11487423,222.4922359,0
0.114861995,222.4922359,0
0.114850225,222.4922359,0
0.114838921,222.4922359,0
0.114828081,222.4922359,0
0.114817705,222.4922359,0
0.114807793,222.4922359,0
0.114798344,222.4922359,0
0.114789359,222.4922359,0
0.114780836,222.4922359,0
0.114772775,222.4922359,0
0.114765177,222.4922359,0
0.114758041,222.4922359,0
0.114751366,222.4922359,0
0.114745153,222.4922359,0
0.1147394,222.4922359,0
0.114734109,222.4922359,0
0.114729279,222.4922359,0
0.114724909,222.4922359,0
0.114720999,222.4922359,0
0.11471755,222.4922359,0
0.114714561,222.4922359,0
0.114712032,222.4922359,0
0.114709963,222.4922359,0
0.114708353,222.4922359,0
0.114707204,222.4922359,0
0.114706514,222.4922359,0
0.114706284,222.4922359,0
0.114706514,222.4922359,0
0.114707204,222.4922359,0
0.114708353,222.4922359,0
0.114709963,222.4922359,0
0.114712032,222.4922359,0
0.114714561,222.4922359,0
0.11471755,222.4922359,0
0.114720999,222.4922359,0
0.114724909,222.4922359,0
0.114729279,222.4922359,0
0.114734109,222.4922359,0
0.1147394,222.4922359,0
0.114745153,222.4922359,0
0.114751366,222.4922359,0
0.114758041,222.4922359,0
0.114765177,222.4922359,0
0.114772775,222.4922359,0
0.114780836,222.4922359,0
0.114789359,222.4922359,0
0.114798344,222.4922359,0
0.114807793,222.4922359,0
0.114817705,222.4922359,0
0.114828081,222.4922359,0
0.114838921,222.4922359,0
0.114850225,222.4922359,0
0.114861995,222.4922359,0
0.11487423,222.4922359,0
0.11488693,222.4922359,0
0.114900097,222.4922359,0
0.114913731,222.4922359,0
0.114927832,222.4922359,0
0.114942401,222.4922359,0
0.114957438,222.4922359,0
0.114972944,222.4922359,0
0.114988919,222.4922359,0
0.115005365,222.4922359,0
0.115022281,222.4922359,0
0.115039668,222.4922359,0
0.115057527,222.4922359,0
0.115075859,222.4922359,0
0.115094664,222.4922359,0
0.115113942,222.4922359,0
0.115133696,222.4922359,0
0.115153924,222.4922359,0
0.115174629,222.4922359,0
0.11519581,222.4922359,0
0.115217469,222.4922359,0
0.115239607,222.4922359,0
0.115262224,222.4922359,0
0.115285321,222.4922359,0
0.115308898,222.4922359,0
0.115332958,222.4922359,0
0.1153575,222.4922359,0
0.115382526,222.4922359,0
0.115408036,222.4922359,0
0.115434032,222.4922359,0
0.115460514,222.4922359,0
0.115487484,222.4922359,0
0.115514942,222.4922359,0
0.115542889,222.4922359,0
0.115571328,222.4922359,0
0.115600257,222.4922359,0
0.11562968,222.4922359,0
0.115659596,222.4922359,0
0.115690007,222.4922359,0
0.115720914,222.4922359,0
0.115752318,222.4922359,0
0.115784221,222.4922359,0
0.115816623,222.4922359,0
0.115849526,222.4922359,0
0.115882932,222.4922359,0
0.11591684,222.4922359,0
0.115951254,222.4922359,0
0.115986173,222.4922359,0
0.116021599,222.4922359,0
0.116057535,222.4922359,0
0.11609398,222.4922359,0
0.116130937,222.4922359,0
0.116168406,222.4922359,0
0.11620639,222.4922359,0
0.11624489,222.4922359,0
0.116283907,222.4922359,0
0.116323442,222.4922359,0
0.116363498,222.4922359,0
0.116404076,222.4922359,0
0.116445178,222.4922359,0
0.116486804,222.4922359,0
0.116528957,222.4922359,0
0.116571638,222.4922359,0
0.11661485,222.4922359,0
0.116658593,222.4922359,0
0.116702869,222.4922359,0
0.116747681,222.4922359,0
0.11679303,222.4922359,0
0.116838917,222.4922359,0
0.116885345,222.4922359,0
0.116932316,222.4922359,0
0.11697983,222.4922359,0
0.117027891,222.4922359,0
0.1170765,222.4922359,0
0.117125659,222.4922359,0
0.117175371,222.4922359,0
0.117225636,222.4922359,0
0.117276457,222.4922359,0
0.117327836,222.4922359,0
0.117379776,222.4922359,0
0.117432278,222.4922359,0
0.117485345,222.4922359,0
0.117538978,222.4922359,0
0.11759318,222.4922359,0
0.117647953,222.4922359,0
0.117703299,222.4922359,0
0.117759221,222.4922359,0
0.117815721,222.4922359,0
0.117872802,222.4922359,0
0.117930465,222.4922359,0
0.117988713,222.4922359,0
0.118047548,222.4922359,0
0.118106973,222.4922359,0
0.118166991,222.4922359,0
0.118227604,222.4922359,0
0.118288815,222.4922359,0
0.118350625,222.4922359,0
0.118413039,222.4922359,0
0.118476057,222.4922359,0
0.118539684,222.4922359,0
0.118603922,222.4922359,0
0.118668773,222.4922359,0
0.118734241,222.4922359,0
0.118800328,222.4922359,0
0.118867037,222.4922359,0
0.118934371,222.4922359,0
0.119002333,222.4922359,0
0.119070925,222.4922359,0
0.119140152,222.4922359,0
0.119210016,222.4922359,0
0.119280519,222.4922359,0
0.119351666,222.4922359,0
0.119423459,222.4922359,0
0.119495901,222.4922359,0
0.119568997,222.4922359,0
0.119642748,222.4922359,0
0.119717158,222.4922359,0
0.119792231,222.4922359,0
0.119867971,222.4922359,0
0.119944379,222.4922359,0
0.120021461,222.4922359,0
0.120099219,222.4922359,0
0.120177657,222.4922359,0
0.120256779,222.4922359,0
0.120336588,222.4922359,0
0.120417088,222.4922359,0
0.120498283,222.4922359,0
0.120580177,222.4922359,0
0.120662772,222.4922359,0
0.120746074,222.4922359,0
0.120830086,222.492236,0
0.120914813,222.4922359,0
0.121000257,222.4922359,0
0.121086423,222.4922359,0
0.121173316,222.492236,0
0.12126094,222.4922359,0
0.121349298,222.4922359,0
0.121438395,222.4922359,0
0.121528235,222.4922359,0
0.121618823,222.4922359,0
0.121710163,222.4922359,0
0.121802259,222.492236,0
0.121895117,222.4922359,0
0.12198874,222.4922359,0
0.122083134,222.4922359,0
0.122178303,222.492236,0
0.122274251,222.4922359,0
0.122370984,222.4922359,0
0.122468507,222.492236,0
0.122566824,222.4922359,0
0.12266594,222.4922359,0
0.122765861,222.4922359,0
0.122866591,222.492236,0
0.122968136,222.4922359,0
0.123070502,222.4922359,0
0.123173692,222.4922359,0
0.123277713,222.492236,0
0.123382571,222.4922359,0
0.12348827,222.4922359,0
0.123594816,222.492236,0
0.123702215,222.4922359,0
0.123810473,222.4922359,0
0.123919595,222.4922359,0
0.124029587,222.492236,0
0.124140456,222.4922359,0
0.124252206,222.4922359,0
0.124364845,222.4922359,0
0.124478379,222.492236,0
0.124592813,222.4922359,0
0.124708154,222.4922359,0
0.124824408,222.492236,0
0.124941582,222.4922359,0
0.125059683,222.4922359,0
0.125178717,222.4922359,0
0.12529869,222.492236,0
0.12541961,222.4922359,0
0.125541484,222.4922359,0
0.125664318,222.4922359,0
0.125788119,222.492236,0
0.125912896,222.4922359,0
0.126038654,222.4922359,0
0.126165401,222.492236,0
0.126293146,222.4922359,0
0.126421894,222.4922359,0
0.126551655,222.4922359,0
0.126682435,222.492236,0
0.126814243,222.4922359,0
0.126947086,222.4922359,0
0.127080973,222.492236,0
0.127215911,222.4922359,0
0.127351909,222.4922359,0
0.127488976,222.4922359,0
0.127627119,222.492236,0
0.127766348,222.4922359,0
0.127906671,222.4922359,0
0.128048097,222.4922359,0
0.128190634,222.492236,0
0.128334293,222.4922359,0
0.128479082,222.4922359,0
0.12862501,222.492236,0
0.128772086,222.4922359,0
0.128920322,222.4922359,0
0.129069725,222.4922359,0
0.129220306,222.492236,0
0.129372075,222.4922359,0
0.129525042,222.4922359,0
0.129679217,222.4922359,0
0.129834611,222.492236,0
0.129991234,222.4922359,0
0.130149097,222.4922359,0
0.13030821,222.492236,0
0.130468584,222.4922359,0
0.130630232,222.4922359,0
0.130793163,222.4922359,0
0.130957389,222.492236,0
0.131122922,222.4922359,0
0.131289774,222.4922359,0
0.131457957,222.4922359,0
0.131627482,222.492236,0
0.131798362,222.4922359,0
0.13197061,222.4922359,0
0.132144238,222.492236,0
0.132319258,222.4922359,0
0.132495684,222.4922359,0
0.13267353,222.4922359,0
0.132852807,222.492236,0
0.133033531,222.4922359,0
0.133215714,222.4922359,0
0.133399371,222.4922359,0
0.133584515,222.4922359,0
0.133771162,222.4922359,0
0.133959326,222.4922359,0
0.134149021,222.492236,0
0.134340263,222.4922359,0
0.134533067,222.4922359,0
0.134727449,222.4922359,0
0.134923423,222.492236,0
0.135121007,222.4922359,0
0.135320216,222.4922359,0
0.135521067,222.4922359,0
0.135723577,222.4922359,0
0.135927762,222.4922359,0
0.136133641,222.4922359,0
0.136341229,222.492236,0
0.136550546,222.4922359,0
0.136761609,222.4922359,0
0.136974436,222.4922359,0
0.137189047,222.4922359,0
0.137405459,222.4922359,0
0.137623694,222.4922359,0
0.137843769,222.4922359,0
0.138065705,222.4922359,0
0.138289522,222.4922359,0
0.138515241,222.4922359,0
0.138742882,222.4922359,0
0.138972467,222.4922359,0
0.139204017,222.4922359,0
0.139437554,222.4922359,0
0.1396731,222.4922359,0
0.139910679,222.4922359,0
0.140150312,222.4922359,0
0.140392024,222.4922359,0
0.140635839,222.4922359,0
0.140881779,222.4922359,0
0.141129871,222.4922359,0
0.141380139,222.4922359,0
0.141632608,222.4922359,0
0.141887305,222.4922359,0
0.142144256,222.4922359,0
0.142403488,222.4922359,0
0.142665028,222.4922359,0
0.142928903,222.4922359,0
0.143195143,222.4922359,0
0.143463775,222.4922359,0
0.143734829,222.4922359,0
0.144008336,222.4922359,0
0.144284324,222.4922359,0
0.144562826,222.4922359,0
0.144843872,222.4922359,0
0.145127496,222.4922359,0
0.145413728,222.4922359,0
0.145702603,222.4922359,0
0.145994154,222.4922359,0
0.146288416,222.4922359,0
0.146585424,222.4922359,0
0.146885214,222.4922359,0
0.147187823,222.4922359,0
0.147493286,222.4922359,0
0.147801643,222.4922359,0
0.148112932,222.4922359,0
0.148427192,222.4922359,0
0.148744463,222.4922359,0
0.149064787,222.4922359,0
0.149388204,222.4922359,0
0.149714758,222.4922359,0
0.150044492,222.4922359,0
0.150377451,222.4922359,0
0.150713678,222.4922359,0
0.151053221,222.4922359,0
0.151396126,222.4922359,0
0.151742441,222.4922359,0
0.152092216,222.4922359,0
0.152445499,222.4922359,0
0.152802343,222.4922359,0
0.153162799,222.4922359,0
0.15352692,222.4922359,0
0.153894761,222.4922359,0
0.154266377,222.4922359,0
0.154641825,222.4922359,0
0.155021162,222.4922359,0
0.155404448,222.4922359,0
0.155791742,222.4922359,0
0.156183107,222.4922359,0
0.156578606,222.4922359,0
0.156978304,222.4922359,0
0.157382265,222.4922359,0
0.157790558,222.4922359,0
0.158203251,222.4922359,0
0.158620415,222.4922359,0
0.159042122,222.4922359,0
0.159468446,222.4922359,0
0.159899462,222.4922359,0
0.160335247,222.4922359,0
0.160775881,222.4922359,0
0.161221445,222.4922359,0
0.161672021,222.4922359,0
0.162127694,222.4922359,0
0.162588551,222.4922359,0
0.163054681,222.4922359,0
0.163526175,222.4922359,0
0.164003127,222.4922359,0
0.164485633,222.4922359,0
0.16497379,222.4922359,0
0.165467699,222.4922359,0
0.165967464,222.4922359,0
0.16647319,222.4922359,0
0.166984986,222.4922359,0
0.167502963,222.4922359,0
0.168027235,222.4922359,0
0.168557921,222.4922359,0
0.169095139,222.4922359,0
0.169639013,222.4922359,0
0.170189672,222.4922359,0
0.170747244,222.4922359,0
0.171311864,222.4922359,0
0.171883669,222.4922359,0
0.172462801,222.4922359,0
0.173049406,222.4922359,0
0.173643632,222.4922359,0
0.174245633,222.4922359,0
0.174855568,222.4922359,0
0.175473599,222.4922359,0
0.176099893,222.4922359,0
0.176734624,222.4922359,0
0.177377968,222.4922359,0
0.178030107,222.4922359,0
0.178691232,222.4922359,0
0.179361534,222.492236,0
0.180041214,222.4922359,0
0.180730479,222.4922359,0
0.18142954,222.4922359,0
0.182138617,222.4922359,0
0.182857936,222.4922359,0
0.18358773,222.4922359,0
0.184328241,222.4922359,0
0.185079716,222.4922359,0
0.185842412,222.4922359,0
0.186616597,222.4922359,0
0.187402542,222.492236,0
0.188200533,222.4922359,0
0.189010862,222.4922359,0
0.189833833,222.4922359,0
0.190669761,222.4922359,0
0.191518969,222.4922359,0
0.192381795,222.4922359,0
0.193258587,222.492236,0
0.194149708,222.4922359,0
0.19505553,222.4922359,0
0.195976444,222.4922359,0
0.196912852,222.492236,0
0.197865172,222.4922359,0
0.198833839,222.4922359,0
0.199819303,222.4922359,0
0.200822035,222.4922359,0
0.20184252,222.4922359,0
0.202881265,222.4922359,0
0.203938799,222.492236,0
0.20501567,222.4922359,0
0.206112449,222.4922359,0
0.207229732,222.4922359,0
0.20836814,222.492236,0
0.20952832,222.4922359,0
0.210710947,222.4922359,0
0.211916729,222.492236,0
0.213146399,222.4922359,0
0.21440073,222.4922359,0
0.215680526,222.4922359,0
0.216986629,222.492236,0
0.218319922,222.4922359,0
0.219681329,222.4922359,0
0.221071817,222.4922359,0
0.222492403,222.492236,0
0.223944153,222.4922359,0
0.225428187,222.4922359,0
0.226945682,222.492236,0
0.228497876,222.4922359,0
0.230086071,222.4922359,0
0.231711641,222.4922359,0
0.233376031,222.492236,0
0.235080769,222.4922359,0
0.236827466,222.4922359,0
0.238617825,222.4922359,0
0.240453648,222.492236,0
0.242336842,222.4922359,0
0.244269428,222.4922359,0
0.246253551,222.492236,0
0.248291485,222.4922359,0
0.250385651,222.4922359,0
0.252538623,222.4922359,0
0.254753144,222.492236,0
0.257032138,222.4922359,0
0.259378728,222.4922359,0
0.261796251,222.4922359,0
0.264288283,222.492236,0
0.266858654,222.4922359,0
0.269511475,222.4922359,0
0.272251168,222.492236,0
0.275082491,222.4922359,0
0.278010575,222.4922359,0
0.281040965,222.4922359,0
0.284179658,222.492236,0
0.287433154,222.4922359,0
0.290808515,222.4922359,0
0.294313423,222.4922359,0
0.297956257,222.492236,0
0.301746172,222.4922359,0
0.305693198,222.4922359,0
0.309808348,222.492236,0
0.314103745,222.4922359,0
0.318592772,222.4922359,0
0.323290244,222.4922359,0
0.328212612,222.492236,0
0.333378201,222.4922359,0
0.338807498,222.4922359,0
0.344523484,222.492236,0
0.350552047,222.4922359,0
0.356922464,222.4922359,0
0.363668,222.4922359,0
0.370826633,222.492236,0
0.378441943,222.4922359,0
0.38656423,222.4922359,0
0.395251903,222.4922359,0
0.404573238,222.492236,0
0.414608639,222.4922359,0
0.425453548,222.4922359,0
0.437222268,222.492236,0
0.450053044,222.4922359,0
0.464114924,222.4922359,0
0.479617179,222.4922359,0
0.49682252,222.492236,0
0.516066029,222.4922359,0
0.537783002,222.4922359,0
0.562551118,222.4922359,0
0.591156565,222.4922359,0
0.624702085,222.4922359,0
0.664792506,222.4922359,0
0.713873473,222.492236,0
0.775900005,222.4922359,0
0.857798533,222.4922359,0
0.973154627,222.4922359,0
1.15375902,222.492236,0
1.502845306,222.4922359,0
3.626121613,222.4922359,0
